사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2021-03,1호선,1,서울역,668,19,"9,048","5,684","11,314","32,628","35,812","85,372","56,518","181,087","41,700","117,196","40,292","58,642","46,987","48,646","55,219","49,128","57,982","50,513","50,787","46,957","63,899","50,613","73,143","51,859","119,244","60,858","179,534","68,987","88,032","44,945","56,841","29,875","64,132","25,504","42,922","21,173","9,712","7,559",9,487,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,1호선,10,동묘앞,73,1,"2,888",815,"3,453","4,739","5,946","9,283","9,005","25,504","7,258","16,394","8,616","18,134","12,862","24,690","19,902","29,578","24,943","32,291","29,116","31,336","33,409","25,710","34,608","18,293","30,123","13,350","23,718","10,289","9,583","6,497","5,446","4,499","5,526","4,414","4,056","5,835","1,164","2,317",2,"1,127",1,2,0,0,0,0,2021-04-03 10:21:59
2021-03,1호선,2,시청,20,0,"1,722","3,784","2,707","18,444","6,099","60,071","7,574","162,609","7,807","73,107","8,733","29,152","13,520","28,131","14,773","24,956","18,586","24,910","23,361","20,427","31,405","17,893","37,636","15,597","66,659","15,937","134,147","16,229","49,165","7,780","38,466","4,360","38,036","3,789","27,307","3,393","3,716","1,242",2,72,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,1호선,3,종각,147,1,"2,181","4,199","2,947","21,373","5,269","93,962","8,253","210,534","9,686","126,119","13,850","51,465","22,062","44,373","26,628","40,338","33,614","41,768","40,676","35,756","51,502","30,154","58,736","29,477","109,692","33,461","185,098","39,021","84,456","18,883","68,215","7,148","83,490","4,557","65,079","3,678","6,368","1,341",17,149,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,1호선,4,종로3가,147,29,"2,834","3,189","2,790","10,922","4,327","24,475","7,531","68,562","10,178","70,576","17,593","56,799","29,836","57,990","36,966","57,127","45,604","57,331","51,205","51,948","57,581","42,757","62,604","36,250","71,746","32,015","94,927","33,198","58,745","15,270","41,206","5,904","49,567","4,697","42,977","4,530","5,040","1,924",23,395,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,1호선,5,종로5가,106,1,"1,780","3,491","2,397","15,045","4,574","38,776","7,282","106,368","10,177","62,287","17,191","50,371","25,721","49,707","33,665","48,261","40,120","45,154","47,725","43,616","52,879","37,774","58,133","29,487","72,693","24,756","100,297","20,803","48,658","10,994","31,266","4,922","28,500","3,959","18,780","3,759","2,786","1,902",6,259,0,0,0,1,0,0,2021-04-03 10:21:59
2021-03,1호선,6,동대문,607,10,"12,572","1,965","8,945","6,697","14,117","11,879","18,264","24,742","16,256","21,527","14,922","19,905","16,432","21,374","19,996","22,437","21,041","20,567","22,463","20,556","23,856","18,944","24,293","17,433","24,623","17,653","23,631","18,403","16,015","19,583","13,055","12,874","13,348","9,660","11,533","10,767","2,932","8,508",9,"1,251",1,0,0,0,0,0,2021-04-03 10:21:59
2021-03,1호선,7,신설동,361,13,"7,927","2,898","7,826","9,755","17,350","25,202","23,710","62,892","15,735","32,839","14,025","20,785","16,312","18,083","18,014","18,764","20,454","18,692","20,622","17,517","22,057","17,769","29,203","18,239","39,303","20,986","57,249","26,045","22,193","18,622","14,258","11,462","14,188","10,640","10,358","11,887","2,191","5,072",9,308,1,1,0,0,0,0,2021-04-03 10:21:59
2021-03,1호선,8,제기동,373,6,"4,650","2,053","7,789","7,776","21,328","18,137","29,637","41,168","20,567","34,379","23,281","37,320","32,492","43,383","38,552","43,264","42,160","43,418","45,125","46,828","47,361","40,047","42,924","30,300","41,565","24,656","38,942","25,650","17,617","18,127","11,054","11,377","9,500","9,881","7,832","11,547","1,989","4,553",8,271,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,1호선,9,청량리(서울시립대입구),"1,015",15,"9,682","4,140","14,053","19,319","36,259","16,663","44,413","35,386","30,533","31,168","29,734","34,211","32,768","38,000","37,906","39,996","40,813","40,513","42,549","45,943","46,233","43,847","52,059","39,030","48,333","38,732","42,593","47,171","23,135","32,601","16,447","18,457","12,798","17,624","9,152","19,324","2,075","6,621",13,754,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,11,시청,8,0,864,"1,386","1,860","13,764","4,734","68,044","6,668","203,885","8,296","80,047","10,938","23,913","17,111","19,960","16,509","20,214","20,725","20,639","26,014","18,909","30,565","17,535","34,242","13,930","76,941","15,297","163,176","15,286","55,281","7,178","36,756","3,668","36,753","3,513","26,604","3,801","2,776","1,365",1,55,1,1,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,12,을지로입구,71,3,"1,565","1,813","2,626","26,328","7,178","114,473","12,346","288,888","13,326","138,464","15,773","58,945","23,793","49,893","28,670","42,846","38,767","41,352","44,172","36,287","55,282","32,145","65,576","30,334","137,396","34,181","234,892","38,718","99,583","19,557","86,569","10,212","60,582","10,007","44,276","10,748","5,044","3,090",2,"1,183",0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,13,을지로3가,5,0,755,"1,705","1,867","16,330","4,997","62,479","8,341","152,478","9,112","64,828","10,377","28,373","13,829","21,980","15,639","20,487","18,884","22,852","22,417","20,778","26,560","18,458","33,506","19,239","69,585","21,474","125,870","24,572","52,483","12,153","34,765","5,212","42,757","4,589","39,453","5,245","4,182","1,602",4,136,0,1,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,14,을지로4가,2,0,896,"1,158","1,555","11,796","2,722","31,814","5,295","78,473","6,375","41,027","8,164","22,763","11,389","19,952","13,655","17,784","15,943","18,008","19,016","16,976","22,536","14,660","26,408","12,298","48,260","10,616","67,818","10,152","32,715","5,588","16,335","2,829","13,688","2,712","10,371","3,172","1,942","1,181",1,113,0,0,0,0,0,0,2021-04-03 10:21:59
